Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
104.16.126.175,443,192.168.222.45,41440,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,86.0,0.0,Not found
104.16.126.175,443,192.168.222.45,41440,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,71.0,0.0,Not found
104.16.126.175,443,192.168.222.45,41440,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,40.0,0.0,Not found
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
104.16.126.175,443,192.168.222.45,41440,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,40.0,0.0,Not found
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
192.168.222.45,50067,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.45,50067,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,86.0,0.0,Not found
192.168.222.45,47816,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.45,47816,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,86.0,0.0,Not found
192.168.222.45,42760,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,99.0,0.0,Not found
192.168.222.1,53,192.168.222.45,42760,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,99.0,0.0,Not found
192.168.222.45,42760,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,88.0,0.0,Not found
192.168.222.1,53,192.168.222.45,42760,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,88.0,0.0,Not found
192.168.222.45,52772,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.45,52772,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,134.0,0.0,Not found
192.168.222.45,53298,34.122.121.32,80,"('32.121.122.34.bc.googleusercontent.com', [], ['34.122.121.32'])",6,60.0,0.0,United States
192.168.222.45,53298,34.122.121.32,80,"('32.121.122.34.bc.googleusercontent.com', [], ['34.122.121.32'])",6,60.0,0.0,United States
192.168.222.45,53298,34.122.121.32,80,"('32.121.122.34.bc.googleusercontent.com', [], ['34.122.121.32'])",6,60.0,0.0,United States
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:5a:4f:3b,192.168.222.1,0,0,0,0,,,
52:54:00:b1:86:d9,192.168.222.45,0,0,0,0,,,
192.168.222.45,53298,34.122.121.32,80,"('32.121.122.34.bc.googleusercontent.com', [], ['34.122.121.32'])",6,60.0,0.0,United States
192.168.222.45,53298,34.122.121.32,80,"('32.121.122.34.bc.googleusercontent.com', [], ['34.122.121.32'])",6,60.0,0.0,United States
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,60.0,0.0,United States
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,60.0,0.0,Not found
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,139.0,0.0,United States
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,52.0,0.0,Not found
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,200.0,0.0,Not found
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,52.0,0.0,Not found
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
192.168.222.45,34361,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,73.0,0.0,Not found
192.168.222.45,56211,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,73.0,0.0,Not found
192.168.222.1,53,192.168.222.45,34361,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,105.0,0.0,Not found
192.168.222.1,53,192.168.222.45,56211,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,73.0,0.0,Not found
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,52.0,0.0,Not found
192.168.222.45,37046,35.224.170.84,80,"('84.170.224.35.bc.googleusercontent.com', [], ['35.224.170.84'])",6,52.0,0.0,United States
35.224.170.84,80,192.168.222.45,37046,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",6,52.0,0.0,Not found
192.168.222.45,33181,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,73.0,0.0,Not found
192.168.222.1,53,192.168.222.45,33181,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,73.0,0.0,Not found
192.168.222.45,39738,91.189.89.199,123,"('golem.canonical.com', [], ['91.189.89.199'])",17,76.0,16.0,United Kingdom
91.189.89.199,123,192.168.222.45,39738,"('ip-192-168-222-45.eu-west-2.compute.internal', [], ['192.168.222.45'])",17,76.0,184.0,Not found
